Date,Calories,Carbs,Fat,Protein,Carbs %,Fat %,Protein %,Link
2015-03-29,2755,313,148,46,45,48,7,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-03-29
2015-03-30,1515,201,50,68,53,29,18,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-03-30
2015-03-31,3153,289,106,74,48,40,12,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-03-31
2015-04-01,1490,129,40,49,48,34,18,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-04-01
2015-04-02,1410,168,65,27,49,43,8,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-04-02
2015-04-03,1651,196,63,58,50,36,15,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-04-03
2015-04-04,2035,217,107,77,41,45,14,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-04-04
2015-04-05,2629,321,126,58,48,43,9,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-04-05
2015-04-06,2075,218,52,63,55,29,16,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-04-06
2015-04-07,1607,190,61,82,46,34,20,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-04-07
2015-04-08,1857,247,70,69,52,33,15,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-04-08
2015-04-09,1775,214,81,52,48,41,12,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-04-09
2015-04-10,1711,211,58,92,49,30,21,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-04-10
2015-04-11,2133,219,114,69,40,47,13,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-04-11
2015-04-12,1947,189,90,69,41,44,15,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-04-12
2015-04-13,1448,183,49,73,50,30,20,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-04-13
2015-04-14,1991,328,45,78,65,20,15,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-04-14
2015-04-15,1875,261,55,86,55,26,18,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-04-15
2015-04-16,1954,155,98,105,32,46,22,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-04-16
2015-04-17,1503,179,63,50,48,38,13,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-04-17
2015-04-18,1707,165,92,64,38,47,15,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-04-18
2015-04-19,2058,128,84,17,38,57,5,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-04-19
2015-04-20,1916,243,70,84,50,33,17,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-04-20
2015-04-21,1354,177,44,69,51,29,20,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-04-21
2015-04-22,1728,238,63,66,53,32,15,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-04-22
2015-04-23,2034,239,87,54,49,40,11,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-04-23
2015-04-24,1747,210,57,114,46,28,25,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-04-24
2015-04-25,398,51,14,18,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-04-25
2015-04-26,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-04-26
2015-04-27,1471,203,53,63,53,31,16,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-04-27
2015-04-28,1627,179,38,65,54,26,20,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-04-28
2015-04-29,1362,128,40,66,45,32,23,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-04-29
2015-04-30,260,31,15,5,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-04-30
2015-05-01,2578,305,119,89,46,40,13,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-05-01
2015-05-02,1487,174,87,44,42,47,11,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-05-02
2015-05-03,2200,213,77,85,45,37,18,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-05-03
2015-05-04,1696,209,64,70,49,34,17,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-05-04
2015-05-05,1723,211,65,85,48,33,19,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-05-05
2015-05-06,1879,248,51,107,53,24,23,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-05-06
2015-05-07,2392,231,109,133,38,40,22,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-05-07
2015-05-08,2193,246,95,90,45,39,16,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-05-08
2015-05-09,562,46,37,16,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-05-09
2015-05-10,487,56,26,6,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-05-10
2015-05-11,1743,278,58,74,58,27,15,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-05-11
2015-05-12,1711,180,67,99,42,35,23,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-05-12
2015-05-13,1829,228,66,93,49,32,20,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-05-13
2015-05-14,2192,196,100,94,38,44,18,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-05-14
2015-05-15,1920,223,70,60,51,36,14,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-05-15
2015-05-16,1725,197,84,50,45,43,11,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-05-16
2015-05-17,1990,216,69,58,50,36,14,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-05-17
2015-05-18,1843,266,49,101,56,23,21,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-05-18
2015-05-19,1978,256,58,125,50,26,24,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-05-19
2015-05-20,1553,189,43,112,48,24,28,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-05-20
2015-05-21,2038,175,107,100,34,47,19,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-05-21
2015-05-22,1694,165,76,76,40,42,18,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-05-22
2015-05-23,2721,323,115,67,50,40,10,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-05-23
2015-05-24,1601,153,83,73,37,45,18,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-05-24
2015-05-25,1995,174,131,72,32,55,13,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-05-25
2015-05-26,1912,225,76,93,46,35,19,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-05-26
2015-05-27,1794,215,62,106,47,30,23,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-05-27
2015-05-28,1678,209,64,70,49,34,17,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-05-28
2015-05-29,1612,210,60,68,51,33,16,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-05-29
2015-05-30,2698,347,85,91,55,30,14,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-05-30
2015-05-31,1891,226,74,91,47,34,19,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-05-31
2015-06-01,1941,240,64,113,48,29,23,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-06-01
2015-06-02,1802,209,65,98,46,32,22,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-06-02
2015-06-03,1933,239,69,76,51,33,16,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-06-03
2015-06-04,1725,191,73,83,44,37,19,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-06-04
2015-06-05,1834,180,77,93,40,39,21,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-06-05
2015-06-06,1395,156,61,50,45,40,15,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-06-06
2015-06-07,1908,239,78,70,49,36,14,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-06-07
2015-06-08,1702,229,51,97,52,26,22,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-06-08
2015-06-09,1615,192,55,90,47,30,22,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-06-09
2015-06-10,2009,208,102,71,41,45,14,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-06-10
2015-06-11,2665,278,135,104,41,44,15,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-06-11
2015-06-12,1365,183,38,77,53,25,22,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-06-12
2015-06-13,348,47,13,12,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-06-13
2015-06-14,1635,146,89,64,36,49,16,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-06-14
2015-06-15,1795,217,66,95,47,32,21,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-06-15
2015-06-16,1546,180,45,76,50,28,21,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-06-16
2015-06-17,1698,232,61,61,54,32,14,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-06-17
2015-06-18,1860,216,79,72,46,38,15,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-06-18
2015-06-19,1277,146,52,45,47,38,15,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-06-19
2015-06-20,190,25,6,10,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-06-20
2015-06-21,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-06-21
2015-06-22,1885,225,74,78,48,35,17,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-06-22
2015-06-23,1507,184,52,79,48,31,21,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-06-23
2015-06-24,1739,226,70,69,50,35,15,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-06-24
2015-06-25,1706,195,56,67,50,32,17,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-06-25
2015-06-26,1843,254,67,56,55,33,12,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-06-26
2015-06-27,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-06-27
2015-06-28,305,41,13,5,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-06-28
2015-06-29,2295,322,85,83,54,32,14,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-06-29
2015-06-30,1787,231,73,66,50,36,14,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-06-30
2015-07-01,1730,214,70,79,48,35,18,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-07-01
2015-07-02,1662,174,71,85,42,38,20,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-07-02
2015-07-03,885,103,29,58,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-07-03
2015-07-04,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-07-04
2015-07-05,700,75,33,29,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-07-05
2015-07-06,1452,195,48,70,52,29,19,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-07-06
2015-07-07,2315,298,84,102,51,32,17,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-07-07
2015-07-08,1681,214,56,89,50,29,21,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-07-08
2015-07-09,190,25,6,10,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-07-09
2015-07-10,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-07-10
2015-07-11,1625,104,82,43,31,56,13,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-07-11
2015-07-12,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-07-12
2015-07-13,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-07-13
2015-07-14,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-07-14
2015-07-15,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-07-15
2015-07-16,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-07-16
2015-07-17,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-07-17
2015-07-18,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-07-18
2015-07-19,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-07-19
2015-07-20,1842,226,64,97,48,31,21,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-07-20
2015-07-21,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-07-21
2015-07-22,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-07-22
2015-07-23,80,3,7,4,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-07-23
2015-07-24,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-07-24
2015-07-25,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-07-25
2015-07-26,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-07-26
2015-07-27,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-07-27
2015-07-28,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-07-28
2015-07-29,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-07-29
2015-07-30,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-07-30
2015-07-31,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-07-31
2015-08-01,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-08-01
2015-08-02,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-08-02
2015-08-03,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-08-03
2015-08-04,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-08-04
2015-08-05,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-08-05
2015-08-06,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-08-06
2015-08-07,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-08-07
2015-08-08,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-08-08
2015-08-09,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-08-09
2015-08-10,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-08-10
2015-08-11,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-08-11
2015-08-12,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-08-12
2015-08-13,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-08-13
2015-08-14,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-08-14
2015-08-15,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-08-15
2015-08-16,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-08-16
2015-08-17,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-08-17
